Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",114.900000,-83.350000,180.000000,top
"IC1","a3144e","SOT-23",133.790766,-105.446813,-77.500000,top
"IC2","a3144e","SOT-23",133.280000,-115.750000,-108.500000,top
"IC3","a3144e","SOT-23",128.842418,-96.497199,-47.500000,top
"L1","L","L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC",107.800000,-98.730000,0.000000,top
"L2","L","L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC",128.462500,-109.096557,-120.000000,top
"L3","L","L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC",109.362500,-121.593444,120.000000,top
"MOTOR1","CONECTOR MOTOR 1","TE_1586037-8b",121.100000,-78.900000,180.000000,top
"R1","10k","R_0805_2012Metric",122.110000,-83.340000,0.000000,top
"R2","10k","R_0805_2012Metric",118.427500,-83.320000,0.000000,top
"R3","10k","R_0805_2012Metric",125.687500,-83.360000,180.000000,top
